epoch,accuracy,loss,val_accuracy,val_loss
0,0.30789685249328613,2.593184471130371,0.7532870173454285,0.9302173256874084
1,0.6662836670875549,0.9896436333656311,0.845028817653656,0.5155048966407776
2,0.7855982184410095,0.6231199502944946,0.8773821592330933,0.3657475411891937
3,0.8441147208213806,0.4495309591293335,0.9156448245048523,0.2592686116695404
4,0.8818508386611938,0.3392817974090576,0.9403161406517029,0.1909235268831253
5,0.9057498574256897,0.26719680428504944,0.9471118450164795,0.1678394079208374
6,0.9274986386299133,0.2092820554971695,0.967646598815918,0.10509304702281952
7,0.9372650980949402,0.17602871358394623,0.9719308614730835,0.09670675545930862
8,0.9469001889228821,0.15029850602149963,0.9677943587303162,0.10016666352748871
9,0.9560264348983765,0.12422232329845428,0.980647087097168,0.06608942151069641
